"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"211","Japan Magnet https://t.co/S53RrVjZmN via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster #Kimono… https://t.co/MC0CWRjMdW",FALSE,0,NA,2020-01-31 03:06:31,TRUE,NA,"1223080086905077760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"212","Japan Flash Drive https://t.co/mv1CG5HZZx via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster #Kimono… https://t.co/0cOvs1CmzZ",FALSE,0,NA,2020-01-31 03:04:00,TRUE,NA,"1223079456589271041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"213","Japan Thermal Tumbler https://t.co/5kyX0kGEjX via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster… https://t.co/16Ga8mgNBU",FALSE,0,NA,2020-01-31 03:01:57,TRUE,NA,"1223078941344194560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"214","Japan Stainless Steel Water Bottle https://t.co/PwyojCTgm3 via @zazzle #Japan #Japanese #Asia #Orient #NearEast… https://t.co/vsA3fou15e",FALSE,0,NA,2020-01-31 02:59:08,TRUE,NA,"1223078232280293377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"215","Japan Luggage Tag https://t.co/pX8s4y1LXL via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster #Kimono… https://t.co/rYOMigst9h",FALSE,0,NA,2020-01-31 02:57:24,TRUE,NA,"1223077795623948288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"216","Japan Plaque https://t.co/ydozRq8oUZ via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster #Kimono… https://t.co/qWClUN13i9",FALSE,0,NA,2020-01-31 02:55:54,TRUE,NA,"1223077416681127936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"217","RT @WanderlustXL: Bantayan Island, Cebu #wanderlustXL #beach #islandlife #paradise #travel #Asia #SoutheastAsia #RT #Philippines #ItsMoreFu…",FALSE,0,NA,2020-01-31 02:52:13,FALSE,NA,"1223076488972398592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","utyumiu",41,TRUE,FALSE,NA,NA
"218","Japan Notebook https://t.co/xRJQspDLYR via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster #Kimono… https://t.co/yY0xHCvz2U",FALSE,0,NA,2020-01-31 02:51:27,TRUE,NA,"1223076295665307648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"219","Japan Wrapping Paper https://t.co/qw0y5m31Eg via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster… https://t.co/JukRk6Wz64",FALSE,0,NA,2020-01-31 02:49:42,TRUE,NA,"1223075856479686656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
"220","Japan Postcard https://t.co/Rxf0jxOo2h via @zazzle #Japan #Japanese #Asia #Orient #NearEast #Art #Poster #Kimono… https://t.co/dr85A7PyJN",FALSE,0,NA,2020-01-31 02:44:56,TRUE,NA,"1223074655486935040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monstervox",0,FALSE,FALSE,NA,NA
